0	(210, 75)	{2, 3, 8}	0	30
0	(550, 75)	{4, 5}	0	30
0	(160, 90)	{0, 6}	0	30
0	(255, 100)	{0, 8, 9}	0	30
0	(500, 90)	{1, 10, 11}	0	30
0	(590, 115)	{1, 12, 13}	0	30
0	(120, 125)	{2, 7, 14}	0	30
1	(175, 135)	{6, 8, 15}	0	30
0	(220, 135)	{0, 3, 7, 16}	0	30
0	(285, 150)	{3, 17, 18}	0	30
0	(455, 115)	{4, 19, 20}	0	30
0	(510, 145)	{4, 12, 20, 21}	0	30
2	(555, 150)	{5, 11, 13, 21, 22}	0	30
0	(610, 165)	{5, 12, 23}	0	30
0	(95, 175)	{6, 15, 24}	0	30
0	(145, 180)	{7, 14, 25}	0	30
0	(200, 185)	{8, 17, 26}	0	30
0	(250, 190)	{9, 16, 28}	0	30
0	(320, 205)	{9, 19, 28}	0	30
0	(420, 165)	{10, 18, 29}	0	30
0	(465, 170)	{10, 11, 30}	0	30
0	(530, 190)	{11, 12, 30, 31}	0	30
0	(580, 210)	{12, 23, 32}	0	30
0	(625, 220)	{13, 22, 33}	0	30
0	(80, 240)	{14, 25, 34}	0	30
0	(130, 225)	{15, 24, 26}	0	30
0	(185, 230)	{16, 25, 27, 35, 36}	0	30
0	(230, 260)	{26, 28}	0	30
0	(285, 245)	{17, 18, 27, 37, 38}	0	30
0	(440, 220)	{19, 30, 39}	0	30
0	(490, 220)	{20, 21, 29, 40}	0	30
0	(525, 250)	{21, 32, 41}	0	30
0	(575, 270)	{22, 31, 33, 42}	0	30
0	(625, 280)	{23, 32, 43}	0	30
0	(85, 295)	{24, 35, 44}	0	30
0	(125, 270)	{26, 34, 45}	0	30
0	(190, 300)	{26, 37, 45, 46}	0	30
0	(240, 300)	{28, 36, 47, 48}	0	30
0	(325, 285)	{28, 39, 48}	0	30
0	(405, 265)	{29, 38, 49}	0	30
0	(465, 260)	{30, 41, 49}	0	30
0	(505, 285)	{31, 40, 42, 50}	0	30
0	(560, 325)	{32, 41, 43, 50}	0	30
0	(615, 340)	{33, 42, 51, 52}	0	30
0	(105, 345)	{34, 45, 53}	0	30
0	(145, 310)	{35, 36, 44, 46}	0	30
0	(175, 350)	{36, 45, 54}	0	30
0	(235, 350)	{37, 54, 55}	0	30
0	(280, 325)	{37, 38, 56}	0	30
0	(435, 310)	{39, 40, 57, 58}	0	30
0	(510, 335)	{41, 42, 51, 58}	0	30
0	(550, 380)	{43, 50, 52, 59}	0	30
0	(595, 395)	{43, 51, 61}	0	30
0	(135, 395)	{44, 54, 62}	0	30
0	(200, 390)	{46, 47, 53, 62, 63}	0	30
0	(255, 390)	{47, 63, 64}	0	30
0	(305, 375)	{48, 64}	0	30
0	(405, 355)	{49, 58, 65}	0	30
0	(460, 355)	{49, 50, 57, 59}	0	30
3	(500, 405)	{51, 58, 60, 66}	0	30
0	(515, 445)	{59, 61, 67, 68}	0	30
0	(565, 445)	{52, 60, 68}	0	30
0	(165, 435)	{53, 54, 69}	0	30
4	(230, 430)	{54, 55, 70}	0	30
0	(295, 425)	{55, 56, 70, 71}	0	30
0	(440, 400)	{57, 66, 72}	0	30
0	(465, 445)	{59, 65, 73}	0	30
0	(480, 500)	{60, 73, 74, 75}	0	30
0	(535, 490)	{60, 61, 75}	0	30
0	(200, 475)	{62, 76}	0	30
0	(265, 470)	{63, 64, 71, 76}	0	30
0	(335, 470)	{64, 70, 72, 77}	0	30
0	(405, 445)	{65, 71, 73}	0	30
0	(435, 490)	{66, 67, 72, 74}	0	30
0	(440, 535)	{67, 73, 79, 80}	0	30
0	(500, 535)	{67, 68, 80}	0	30
0	(240, 515)	{69, 70, 81}	0	30
0	(320, 520)	{71, 78, 81}	0	30
0	(355, 560)	{77, 79, 82}	0	30
0	(410, 605)	{74, 78, 80}	0	30
0	(460, 575)	{74, 75, 79}	0	30
0	(280, 560)	{76, 77, 82}	0	30
0	(315, 600)	{81, 78}	0	30
